MiniApp,API,GroundTruth,MiniDroid,TaintMini,GroundTruth_Pages,MiniDroid_Pages,TaintMini_Pages
wx771e5f1f2a5c6b03,wx.getLocation,3,3,3,"['pages/index/index', 'pages/index/choose/location/location', 'pages/index/choose/newLoa/location']","['pages/index/index', 'pages/index/choose/location/location', 'pages/index/choose/newLoa/location']","['index/index', 'index/choose/newLoa/location', 'index/choose/location/location']"
wx771e5f1f2a5c6b03,wx.chooseImage,2,2,2,"['pages/order/upload/index', 'pages/my/withdraw/index']","['pages/order/upload/index', 'pages/my/withdraw/index']","['my/withdraw/index', 'order/upload/index']"
wxaed0357fa76a9527,wx.getLocation,2,2,1,"['pages/index/index', 'pages/takefood/index']","['pages/index/index', 'pages/takefood/index']",['takefood/index']
wx4886c79f1a844634,wx.getLocation,1,1,1,['pages/changce/merch/index'],['pages/changce/merch/index'],['changce/merch/index']
wx4886c79f1a844634,wx.getUserInfo,1,0,0,['app'],[],[]
wx4886c79f1a844634,wx.saveImageToPhotosAlbum,2,2,3,"['pages/commission/poster/index', 'pages/goods/poster/poster']","['pages/commission/poster/index', 'pages/goods/poster/poster']","['goods/detail/poster/poster', 'goods/poster/poster', 'commission/poster/index']"
wx7c544dd972e54c8e,wx.saveImageToPhotosAlbum,1,1,1,['pages/distributor/storecard/storecard'],['pages/distributor/storecard/storecard'],['distributor/storecard/storecard']
wx7c544dd972e54c8e,wx.getLocation,1,1,1,['pages/detail/detail'],['pages/detail/detail'],['detail/detail']
wx7c544dd972e54c8e,wx.chooseImage,6,6,6,"['pages/userset/userset', 'pages/applyservice/applyservice', 'pages/distributor/storeinfo/storeinfo', 'pages/distributor/distributorexplain/distributorexplain', 'pages/evaluation/evaluation', 'pages/supportvalueapply/supportvalueapply']","['pages/userset/userset', 'pages/applyservice/applyservice', 'pages/distributor/storeinfo/storeinfo', 'pages/distributor/distributorexplain/distributorexplain', 'pages/evaluation/evaluation', 'pages/supportvalueapply/supportvalueapply']","['evaluation/evaluation', 'distributor/storeinfo/storeinfo', 'distributor/distributorexplain/distributorexplain', 'applyservice/applyservice', 'supportvalueapply/supportvalueapply', 'userset/userset']"
wx7c544dd972e54c8e,wx.chooseAddress,7,6,6,"['pages/confirmorder/confirmorder', 'pages/myaddress/myaddress', 'pages/addresslist/addresslist', 'pages/pintuan/confirmorder/confirmorder', 'pages/seckilling/submitorder/submitorder', 'pages/reduceauction/confirmorder/confirmorder', 'pages/stairgroup/confirmorder/confirmorder']","['pages/myaddress/myaddress', 'pages/addresslist/addresslist', 'pages/pintuan/confirmorder/confirmorder', 'pages/seckilling/submitorder/submitorder', 'pages/reduceauction/confirmorder/confirmorder', 'pages/stairgroup/confirmorder/confirmorder']","['myaddress/myaddress', 'stairgroup/confirmorder/confirmorder', 'addresslist/addresslist', 'reduceauction/confirmorder/confirmorder', 'seckilling/submitorder/submitorder', 'pintuan/confirmorder/confirmorder']"
wx4aab7ae2aacd0ea7,wx.getLocation,2,2,2,"['pages/order/store/index', 'pages/changce/merch/index']","['pages/order/store/index', 'pages/changce/merch/index']","['order/store/index', 'changce/merch/index']"
wx4aab7ae2aacd0ea7,wx.saveImageToPhotosAlbum,2,2,2,"['pages/goods/poster/poster', 'commission/pages/poster/index']","['pages/goods/poster/poster', 'commission/pages/poster/index']","['goods/detail/poster/poster', 'goods/poster/poster']"
wxf6539b695e8334a1,wx.chooseImage,1,1,1,['pages/main/active/reallyDelicious/discuss/discuss'],['pages/main/active/reallyDelicious/discuss/discuss'],['main/active/reallyDelicious/discuss/discuss']
wxf6539b695e8334a1,wx.getUserInfo,1,0,0,['app'],[],[]
