MiniApp,API,GroundTruth,MiniDroid,TaintMini,GroundTruth_Pages,MiniDroid_Pages,TaintMini_Pages
wx7a3db22c7de906d0,wx.openBluetoothAdapter,7,3,0,"['pages/batteryCharge/index', 'pages/replenishment/replenishment', 'pages/openLock/openLock', 'pages/index/index', 'pages/login/login', 'pages/serviceHelp/index', 'pages/freeReceive/index']","['pages/replenishment/replenishment', 'pages/login/login', 'pages/freeReceive/index']",[]
wx44f5fe051e87eb7c,wx.getUserInfo,4,4,6,"['pages/mine/mine', 'pages/login/login', 'pages/phone/phone', 'pages/plantlist/plantlist']","['pages/mine/mine', 'pages/login/login', 'pages/phone/phone', 'pages/plantlist/plantlist']","['login/login', 'plantlist/plantlist', 'mine/mine', 'active/active', 'phone/phone', 'bornshare/bornshare']"
wx44f5fe051e87eb7c,wx.saveImageToPhotosAlbum,2,2,0,"['pages/contactus/contactus', 'pages/yiqingxiaoqudetail/yiqingxiaoqudetail']","['pages/contactus/contactus', 'pages/yiqingxiaoqudetail/yiqingxiaoqudetail']",[]
wx44f5fe051e87eb7c,wx.getUserProfile,20,19,19,"['pages/index/index', 'pages/mine/mine', 'pages/postvc4/postvc4', 'pages/postvc5/postvc5', 'pages/shequfuwuvc/shequfuwuvc', 'pages/tenminutsvc/tenminutsvc', 'pages/borndetail/borndetail', 'pages/regestphone/regestphone', 'pages/indexsub/indexsub', 'pages/booklist/booklist', 'pages/activedetail/activedetail', 'pages/fulivc/fulivc', 'pages/fulijoin/fulijoin', 'pages/healthvc/healthvc', 'pages/shenfenma/shenfenma', 'pages/myfamilyapply/myfamilyapply', 'pages/myfamilyshow/myfamilyshow', 'pages/radiogroupjoin/radiogroupjoin', 'pages/posttoaddlist/posttoaddlist', 'app']","['pages/index/index', 'pages/mine/mine', 'pages/postvc4/postvc4', 'pages/postvc5/postvc5', 'pages/shequfuwuvc/shequfuwuvc', 'pages/tenminutsvc/tenminutsvc', 'pages/borndetail/borndetail', 'pages/regestphone/regestphone', 'pages/indexsub/indexsub', 'pages/booklist/booklist', 'pages/activedetail/activedetail', 'pages/fulivc/fulivc', 'pages/fulijoin/fulijoin', 'pages/healthvc/healthvc', 'pages/shenfenma/shenfenma', 'pages/myfamilyapply/myfamilyapply', 'pages/myfamilyshow/myfamilyshow', 'pages/radiogroupjoin/radiogroupjoin', 'pages/posttoaddlist/posttoaddlist']","['tenminutsvc/tenminutsvc', 'activedetail/activedetail', 'postvc5/postvc5', 'indexsub/indexsub', 'postvc4/postvc4', 'borndetail/borndetail', 'posttoaddlist/posttoaddlist', 'booklist/booklist', 'fulivc/fulivc', 'myfamilyapply/myfamilyapply', 'index/index', 'shequfuwuvc/shequfuwuvc', 'myfamilyshow/myfamilyshow', 'fulijoin/fulijoin', 'shenfenma/shenfenma', 'radiogroupjoin/radiogroupjoin', 'mine/mine', 'healthvc/healthvc', 'regestphone/regestphone']"
wx44f5fe051e87eb7c,wx.getLocation,6,6,5,"['pages/tenminutsvc/tenminutsvc', 'pages/booklist/booklist', 'pages/bookdetail/bookdetail', 'pages/booklibrarylist/booklibrarylist', 'pages/booklibrarydetail/booklibrarydetail', 'pages/booklibrarysearch/booklibrarysearch']","['pages/tenminutsvc/tenminutsvc', 'pages/booklist/booklist', 'pages/bookdetail/bookdetail', 'pages/booklibrarylist/booklibrarylist', 'pages/booklibrarydetail/booklibrarydetail', 'pages/booklibrarysearch/booklibrarysearch']","['tenminutsvc/tenminutsvc', 'booklibrarydetail/booklibrarydetail', 'booklist/booklist', 'booklibrarysearch/booklibrarysearch', 'booklibrarylist/booklibrarylist']"
wx44f5fe051e87eb7c,wx.chooseImage,10,10,10,"['pages/chatvc/chatvc', 'pages/postvc4/postvc4', 'pages/postvc5/postvc5', 'pages/personpicvc/personpicvc', 'pages/amadetail/amadetail', 'pages/amasubdetail/amasubdetail', 'pages/replyama/replyama', 'pages/olderauthepic/olderauthepic', 'pages/onechildauthepic/onechildauthepic', 'pages/socialpic/socialpic']","['pages/chatvc/chatvc', 'pages/postvc4/postvc4', 'pages/postvc5/postvc5', 'pages/personpicvc/personpicvc', 'pages/amadetail/amadetail', 'pages/amasubdetail/amasubdetail', 'pages/replyama/replyama', 'pages/olderauthepic/olderauthepic', 'pages/onechildauthepic/onechildauthepic', 'pages/socialpic/socialpic']","['postvc5/postvc5', 'amadetail/amadetail', 'personpicvc/personpicvc', 'amasubdetail/amasubdetail', 'socialpic/socialpic', 'onechildauthepic/onechildauthepic', 'postvc4/postvc4', 'olderauthepic/olderauthepic', 'replyama/replyama', 'chatvc/chatvc']"
wx44f5fe051e87eb7c,wx.chooseLocation,3,3,3,"['pages/postvc4/postvc4', 'pages/postvc5/postvc5', 'pages/replyama/replyama']","['pages/postvc4/postvc4', 'pages/postvc5/postvc5', 'pages/replyama/replyama']","['replyama/replyama', 'postvc4/postvc4', 'postvc5/postvc5']"
wx4ce9c3cff6c3c610,wx.saveVideoToPhotosAlbum,1,1,0,['pages/index/index'],['pages/index/index'],[]
wx78d2ee5255a3ed63,wx.chooseAddress,1,0,0,['pages/address/address'],[],[]
wx78d2ee5255a3ed63,wx.chooseImage,2,2,2,"['pages/index/index', 'pages/set/set']","['pages/index/index', 'pages/set/set']","['set/set', 'index/index']"
wx78d2ee5255a3ed63,wx.saveImageToPhotosAlbum,3,3,0,"['pages/shareImg/shareImg', 'pages/qrvoucher/qrvoucher', 'pages/scanning/scanning']","['pages/shareImg/shareImg', 'pages/qrvoucher/qrvoucher', 'pages/scanning/scanning']",[]
wx791f877ab36ea8b2,wx.saveImageToPhotosAlbum,2,2,2,"['pages/jielongDetail/jielongDetail', 'pages/jielong/jielong']","['pages/jielongDetail/jielongDetail', 'pages/jielong/jielong']","['jielong/jielong', 'jielongDetail/jielongDetail']"
wx791f877ab36ea8b2,wx.getLocation,13,10,10,"['pages/index/index', 'pages/changeArea/changeArea', 'pages/submitOrder/submitOrder', 'pages/addressAdd/addressAdd', 'pages/myRecruit/myRecruit', 'pages/servicesList/servicesList', 'pages/submitOrderExpress/submitOrderExpress', 'pages/AllMerchant/AllMerchant', 'pages/MerchantList/MerchantList', 'pages/MerchantSecondList/MerchantSecondList', 'pages/MerchantSearch/MerchantSearch', 'pages/AuctionSearch/AuctionSearch', 'pages/jielongSubmit/jielongSubmit']","['pages/changeArea/changeArea', 'pages/submitOrder/submitOrder', 'pages/addressAdd/addressAdd', 'pages/myRecruit/myRecruit', 'pages/servicesList/servicesList', 'pages/submitOrderExpress/submitOrderExpress', 'pages/AllMerchant/AllMerchant', 'pages/MerchantList/MerchantList', 'pages/MerchantSecondList/MerchantSecondList', 'pages/jielongSubmit/jielongSubmit']","['MerchantSecondList/MerchantSecondList', 'addressAdd/addressAdd', 'myRecruit/myRecruit', 'submitOrderExpress/submitOrderExpress', 'servicesList/servicesList', 'submitOrder/submitOrder', 'MerchantList/MerchantList', 'jielongSubmit/jielongSubmit', 'AllMerchant/AllMerchant', 'changeArea/changeArea']"
wx791f877ab36ea8b2,wx.chooseImage,7,7,7,"['pages/myOrderRefund/myOrderRefund', 'pages/storeInfo/storeInfo', 'pages/myExpressOrderRefund/myExpressOrderRefund', 'pages/MerchantInfo/MerchantInfo', 'pages/wishForm/wishForm', 'pages/addComment/addComment', 'pages/bindCard/bindCard']","['pages/myOrderRefund/myOrderRefund', 'pages/storeInfo/storeInfo', 'pages/myExpressOrderRefund/myExpressOrderRefund', 'pages/MerchantInfo/MerchantInfo', 'pages/wishForm/wishForm', 'pages/addComment/addComment', 'pages/bindCard/bindCard']","['storeInfo/storeInfo', 'wishForm/wishForm', 'myExpressOrderRefund/myExpressOrderRefund', 'addComment/addComment', 'MerchantInfo/MerchantInfo', 'myOrderRefund/myOrderRefund', 'bindCard/bindCard']"
wx791f877ab36ea8b2,wx.chooseLocation,4,4,3,"['pages/changeArea/changeArea', 'pages/addressAdd/addressAdd', 'pages/storeInfo/storeInfo', 'pages/MerchantInfo/MerchantInfo']","['pages/changeArea/changeArea', 'pages/addressAdd/addressAdd', 'pages/storeInfo/storeInfo', 'pages/MerchantInfo/MerchantInfo']","['changeArea/changeArea', 'MerchantInfo/MerchantInfo', 'addressAdd/addressAdd']"
wx45cf09091aead547,wx.getUserProfile,1,1,1,['pages/user/user'],['pages/user/user'],['user/user']
wx45cf09091aead547,wx.getLocation,8,5,5,"['pages/search-address/search-address', 'pages/cart/cart', 'pages/address-edit/address-edit', 'pages/shop/shop', 'pages/book/details/details', 'pages/book/shop/shop', 'components/shopPop/index', 'app']","['pages/search-address/search-address', 'pages/cart/cart', 'pages/address-edit/address-edit', 'pages/shop/shop', 'pages/book/shop/shop']","['cart/cart', 'shop/shop', 'book/shop/shop', 'search-address/search-address', 'address-edit/address-edit']"
wx45cf09091aead547,wx.chooseImage,1,1,1,['pages/new-order-submit/new-order-submit'],['pages/new-order-submit/new-order-submit'],['new-order-submit/new-order-submit']
wx45cf09091aead547,wx.openBluetoothAdapter,1,1,1,['pages/bluetooth/index'],['pages/bluetooth/index'],['bluetooth/index']
wx45cf09091aead547,wx.chooseLocation,1,0,0,['app'],[],[]
wx7ae56cb1b59b333b,wx.getLocation,1,1,1,['pages/order/store/index'],['pages/order/store/index'],['order/store/index']
wx7ae56cb1b59b333b,wx.chooseAddress,3,3,3,"['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['member/address/index', 'member/address/post', 'member/address/select']"
wx7ae56cb1b59b333b,wx.saveImageToPhotosAlbum,1,1,2,['pages/goods/poster/poster'],['pages/goods/poster/poster'],"['goods/detail/poster/poster', 'goods/poster/poster']"
wx9f612fdcc555956c,wx.chooseInvoice,1,0,0,['pages/OrderCreate/OrderCreate'],[],[]
wx9f612fdcc555956c,wx.getUserInfo,1,0,0,['app'],[],[]
wx9f612fdcc555956c,wx.saveImageToPhotosAlbum,7,6,3,"['pages/ProductDetail/ProductDetail', 'pages/MyShare/MyShare', 'pages/Course_Detail/Course_Detail', 'pages/Group_Detail/Group_Detail', 'pages/SecKill_Detail/SecKill_Detail', 'pages/CutPriceDetail/CutPriceDetail', 'pages/MyShareCode/MyShareCode']","['pages/ProductDetail/ProductDetail', 'pages/MyShare/MyShare', 'pages/Group_Detail/Group_Detail', 'pages/SecKill_Detail/SecKill_Detail', 'pages/CutPriceDetail/CutPriceDetail', 'pages/MyShareCode/MyShareCode']","['SecKill_Detail/SecKill_Detail', 'ProductDetail/ProductDetail', 'Group_Detail/Group_Detail']"
wx9f612fdcc555956c,wx.getLocation,3,0,0,"['pages/OrderTrace/OrderTrace', 'pages/StoreList/StoreList', 'pages/StoreLists/StoreLists']",[],[]
wx9f612fdcc555956c,wx.chooseImage,1,1,1,['pages/OrderComment/OrderComment'],['pages/OrderComment/OrderComment'],['OrderComment/OrderComment']
wx9f612fdcc555956c,wx.chooseInvoiceTitle,1,1,1,['pages/OrderCreate/OrderCreate'],['pages/OrderCreate/OrderCreate'],['OrderCreate/OrderCreate']
wx9f612fdcc555956c,wx.chooseAddress,3,0,0,"['pages/OrderCreate/OrderCreate', 'pages/ExchangeOrderCreate/ExchangeOrderCreate', 'pages/Group_OrderCreate/Group_OrderCreate']",[],[]
wxad91b8c41181a062,wx.getLocation,5,5,5,"['pages/shopping/nearstore/nearstore', 'pages/shopping/placeorder/addAddress', 'pages/group/placeorder/addAddress', 'pages/bargain/placeorder/addAddress', 'pages/seckill/placeorder/addAddress']","['pages/shopping/nearstore/nearstore', 'pages/shopping/placeorder/addAddress', 'pages/group/placeorder/addAddress', 'pages/bargain/placeorder/addAddress', 'pages/seckill/placeorder/addAddress']","['seckill/placeorder/addAddress', 'shopping/placeorder/addAddress', 'group/placeorder/addAddress', 'shopping/nearstore/nearstore', 'bargain/placeorder/addAddress']"
wxad91b8c41181a062,wx.chooseLocation,5,5,5,"['pages/shopping/nearstore/nearstore', 'pages/shopping/placeorder/addAddress', 'pages/group/placeorder/addAddress', 'pages/bargain/placeorder/addAddress', 'pages/seckill/placeorder/addAddress']","['pages/shopping/nearstore/nearstore', 'pages/shopping/placeorder/addAddress', 'pages/group/placeorder/addAddress', 'pages/bargain/placeorder/addAddress', 'pages/seckill/placeorder/addAddress']","['seckill/placeorder/addAddress', 'shopping/placeorder/addAddress', 'group/placeorder/addAddress', 'shopping/nearstore/nearstore', 'bargain/placeorder/addAddress']"
wx4b1dfa2b8f503e6f,wx.chooseMessageFile,2,2,2,"['pages/resume/detail', 'pages/cv/resume']","['pages/resume/detail', 'pages/cv/resume']","['cv/resume', 'resume/detail']"
wx4b1dfa2b8f503e6f,wx.saveImageToPhotosAlbum,6,5,5,"['pages/job/company_detail/index', 'pages/mine/report/index', 'pages/cv/detail', 'pages/mine/actulcombat/actulcombat', 'pages/cv/getmark', 'pages/mine/test_time/test_time']","['pages/job/company_detail/index', 'pages/mine/report/index', 'pages/cv/detail', 'pages/cv/getmark', 'pages/mine/test_time/test_time']","['cv/detail', 'mine/report/index', 'cv/getmark', 'mine/test_time/test_time', 'job/company_detail/index']"
wx4b1dfa2b8f503e6f,wx.getUserProfile,1,0,0,['app'],[],[]
wx4b1dfa2b8f503e6f,wx.getLocation,2,1,1,"['pages/job/company_detail/index', 'pages/job/job_detail/index']",['pages/job/company_detail/index'],['job/company_detail/index']
wx4b1dfa2b8f503e6f,wx.chooseImage,11,9,9,"['pages/cv/resume', 'pages/user/studentCard', 'pages/user/feedback', 'pages/resume/practice', 'pages/resume/club', 'pages/resume/match', 'pages/resume/info', 'pages/resume/education', 'pages/cv/wantApply', 'pages/resume/certificate', 'pages/resume/skill']","['pages/cv/resume', 'pages/user/studentCard', 'pages/user/feedback', 'pages/resume/practice', 'pages/resume/match', 'pages/resume/education', 'pages/cv/wantApply', 'pages/resume/certificate', 'pages/resume/skill']","['resume/skill', 'user/feedback', 'resume/education', 'cv/resume', 'cv/wantApply', 'resume/match', 'resume/certificate', 'user/studentCard', 'resume/practice']"
wx9cce87b6fe589396,wx.chooseMessageFile,1,1,1,['pages/issue/issue'],['pages/issue/issue'],['issue/issue']
wx9cce87b6fe589396,wx.saveImageToPhotosAlbum,2,2,0,"['pages/usercenter/dashboard/index', 'pages/order/detail']","['pages/usercenter/dashboard/index', 'pages/order/detail']",[]
wx9cce87b6fe589396,wx.getUserProfile,11,9,9,"['pages/home/dashboard/index', 'pages/usercenter/dashboard/index', 'pages/issue/issue', 'pages/detail/index', 'pages/usercenter/payorder/index', 'pages/myQuan2/detail', 'pages/order/order', 'pages/order/detail', 'pages/order/judetail', 'pages/order/yuyue', 'pages/dm/dm']","['pages/usercenter/dashboard/index', 'pages/issue/issue', 'pages/detail/index', 'pages/myQuan2/detail', 'pages/order/order', 'pages/order/detail', 'pages/order/judetail', 'pages/order/yuyue', 'pages/dm/dm']","['order/order', 'order/judetail', 'order/yuyue', 'usercenter/dashboard/index', 'myQuan2/detail', 'dm/dm', 'order/detail', 'detail/index', 'issue/issue']"
wx9cce87b6fe589396,wx.getLocation,1,0,0,['pages/home/dashboard/index'],[],[]
wx9cce87b6fe589396,wx.chooseImage,3,3,3,"['pages/issue/issue', 'pages/register/register', 'pages/company/infoSet']","['pages/issue/issue', 'pages/register/register', 'pages/company/infoSet']","['register/register', 'company/infoSet', 'issue/issue']"
wx9cce87b6fe589396,wx.chooseLocation,3,3,3,"['pages/issue/issue', 'pages/company/infoSet', 'pages/company/storeSet']","['pages/issue/issue', 'pages/company/infoSet', 'pages/company/storeSet']","['company/storeSet', 'company/infoSet', 'issue/issue']"
wx7a4e7d465ac09eea,wx.saveImageToPhotosAlbum,4,4,4,"['pages/goods/index', 'pages/sharing/goods/index', 'pages/bargain/goods/index', 'pages/sharp/goods/index']","['pages/goods/index', 'pages/sharing/goods/index', 'pages/bargain/goods/index', 'pages/sharp/goods/index']","['goods/index', 'sharp/goods/index', 'sharing/goods/index', 'bargain/goods/index']"
wx7a4e7d465ac09eea,wx.getUserProfile,1,0,0,['app'],[],[]
wx7a4e7d465ac09eea,wx.getLocation,2,1,1,"['pages/_select/extract_point/index', 'app']",['pages/_select/extract_point/index'],['_select/extract_point/index']
wx7a4e7d465ac09eea,wx.chooseImage,6,6,4,"['pages/user/message/apply/index', 'pages/order/comment/comment', 'pages/order/refund/apply/apply', 'pages/dealer/addus/addus', 'pages/sharing/order/comment/comment', 'pages/sharing/order/refund/apply/apply']","['pages/user/message/apply/index', 'pages/order/comment/comment', 'pages/order/refund/apply/apply', 'pages/dealer/addus/addus', 'pages/sharing/order/comment/comment', 'pages/sharing/order/refund/apply/apply']","['order/refund/apply/apply', 'sharing/order/refund/apply/apply', 'dealer/addus/addus', 'user/message/apply/index']"
wx7a4e7d465ac09eea,wx.chooseAddress,2,2,2,"['pages/address/create', 'pages/address/detail']","['pages/address/create', 'pages/address/detail']","['address/detail', 'address/create']"
wx8b0d722749666d1c,wx.chooseImage,4,4,4,"['pages/classchoice/classchoice', 'pages/editclass/editclass', 'pages/faceenter/faceenter', 'pages/member/member']","['pages/classchoice/classchoice', 'pages/editclass/editclass', 'pages/faceenter/faceenter', 'pages/member/member']","['member/member', 'classchoice/classchoice', 'faceenter/faceenter', 'editclass/editclass']"
wx8b0d722749666d1c,wx.getUserInfo,4,2,1,"['pages/index/index', 'pages/result/result', 'pages/result3/result3', 'app']","['pages/index/index', 'pages/result3/result3']",['result3/result3']
wx8b0d722749666d1c,wx.createCameraContext,1,1,0,['pages/faceenter/faceenter'],['pages/faceenter/faceenter'],[]
wx8b0d722749666d1c,wx.saveImageToPhotosAlbum,2,1,0,"['pages/result/result', 'pages/result3/result3']",['pages/result3/result3'],[]
wx83b9bf6fa41d1dda,wx.getUserInfo,1,1,0,['pages/auth/index'],['pages/auth/index'],[]
wx83b9bf6fa41d1dda,wx.saveImageToPhotosAlbum,1,1,2,['pages/goods/poster/poster'],['pages/goods/poster/poster'],"['goods/detail/poster/poster', 'goods/poster/poster']"
wx83b9bf6fa41d1dda,wx.getUserProfile,1,1,1,['pages/auth/index'],['pages/auth/index'],['auth/index']
wx83b9bf6fa41d1dda,wx.getLocation,1,1,1,['pages/order/store/index'],['pages/order/store/index'],['order/store/index']
wx83b9bf6fa41d1dda,wx.chooseAddress,3,3,3,"['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['member/address/index', 'member/address/post', 'member/address/select']"
wxa8734dceb63f311c,wx.chooseInvoice,1,0,0,['pages/user/applyInvoice/index'],[],[]
wxa8734dceb63f311c,wx.saveImageToPhotosAlbum,1,0,0,['pages/serviceHelp/index'],[],[]
wxa8734dceb63f311c,wx.getUserProfile,2,1,1,"['pages/index/index', 'pages/user/index']",['pages/user/index'],['user/index']
wxa8734dceb63f311c,wx.chooseImage,1,1,1,['pages/complaint/complaint'],['pages/complaint/complaint'],['complaint/complaint']
wxa8734dceb63f311c,wx.chooseInvoiceTitle,1,1,1,['pages/user/applyInvoice/index'],['pages/user/applyInvoice/index'],['user/applyInvoice/index']
wxa8734dceb63f311c,wx.openBluetoothAdapter,7,3,0,"['pages/batteryCharge/index', 'pages/replenishment/replenishment', 'pages/openLock/openLock', 'pages/index/index', 'pages/login/login', 'pages/serviceHelp/index', 'pages/freeReceive/index']","['pages/replenishment/replenishment', 'pages/login/login', 'pages/freeReceive/index']",[]
wx9b06afa856a0ad63,wx.getLocation,3,2,2,"['pages/index/index', 'pages/order/store/index', 'pages/changce/merch/index']","['pages/order/store/index', 'pages/changce/merch/index']","['order/store/index', 'changce/merch/index']"
wx9b06afa856a0ad63,wx.chooseAddress,3,3,3,"['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['member/address/index', 'member/address/post', 'member/address/select']"
wx9b06afa856a0ad63,wx.saveImageToPhotosAlbum,2,2,3,"['pages/commission/poster/index', 'pages/goods/poster/poster']","['pages/commission/poster/index', 'pages/goods/poster/poster']","['goods/detail/poster/poster', 'goods/poster/poster', 'commission/poster/index']"
wx7951c581d9200725,wx.chooseImage,1,1,1,['pages/make/index'],['pages/make/index'],['make/index']
wx7951c581d9200725,wx.saveImageToPhotosAlbum,1,1,1,['pages/share/index'],['pages/share/index'],['share/index']
wx7951c581d9200725,wx.getUserProfile,1,1,1,['pages/share/index'],['pages/share/index'],['share/index']
wx95558cdb8cce89a4,wx.getLocation,1,1,1,['pages/order/store/index'],['pages/order/store/index'],['order/store/index']
wx95558cdb8cce89a4,wx.chooseAddress,3,3,3,"['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['member/address/index', 'member/address/post', 'member/address/select']"
wx95558cdb8cce89a4,wx.saveImageToPhotosAlbum,2,1,2,"['pages/goods/detail/index', 'pages/goods/poster/poster']",['pages/goods/poster/poster'],"['goods/detail/poster/poster', 'goods/poster/poster']"
wx749b4ca56e3ab83a,wx.getLocation,4,4,3,"['pages/store/store', 'pages/purchase/purchase', 'pages/purchase/purchase_info/purchase_info', 'pages/address/address_edit/address_edit']","['pages/store/store', 'pages/purchase/purchase', 'pages/purchase/purchase_info/purchase_info', 'pages/address/address_edit/address_edit']","['address/address_edit/address_edit', 'store/store', 'purchase/purchase_info/purchase_info']"
wx749b4ca56e3ab83a,wx.chooseImage,1,0,0,['pages/member/member_infor/member_infor'],[],[]
wx749b4ca56e3ab83a,wx.getUserInfo,1,0,0,['app'],[],[]
wx749b4ca56e3ab83a,wx.chooseAddress,2,2,2,"['pages/purchase/purchase_info/purchase_info', 'pages/address/address']","['pages/purchase/purchase_info/purchase_info', 'pages/address/address']","['purchase/purchase_info/purchase_info', 'address/address']"
wx749b4ca56e3ab83a,wx.getUserProfile,2,2,2,"['pages/member/member', 'pages/member/register/register']","['pages/member/member', 'pages/member/register/register']","['member/register/register', 'member/member']"
wxa832c03d1b20830b,wx.getLocation,1,1,1,['pages/order/store/index'],['pages/order/store/index'],['order/store/index']
wxa832c03d1b20830b,wx.chooseAddress,3,3,3,"['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['pages/member/address/index', 'pages/member/address/post', 'pages/member/address/select']","['member/address/index', 'member/address/post', 'member/address/select']"
wxa832c03d1b20830b,wx.saveImageToPhotosAlbum,1,1,2,['pages/goods/poster/poster'],['pages/goods/poster/poster'],"['goods/detail/poster/poster', 'goods/poster/poster']"
wx4d54f84ac55705e9,wx.saveImageToPhotosAlbum,6,3,3,"['pages/goods/goods', 'pages/card/card', 'pages/miaosha/details/details', 'pages/pt/details/details', 'pages/pt/group/details', 'pages/book/details/details']","['pages/goods/goods', 'pages/card/card', 'pages/miaosha/details/details']","['card/card', 'goods/goods', 'miaosha/details/details']"
wx4d54f84ac55705e9,wx.getLocation,2,2,2,"['pages/shop/shop', 'pages/book/shop/shop']","['pages/shop/shop', 'pages/book/shop/shop']","['book/shop/shop', 'shop/shop']"
wx4d54f84ac55705e9,wx.chooseImage,7,7,7,"['pages/order-refund/order-refund', 'pages/order-comment/order-comment', 'pages/miaosha/order-comment/order-comment', 'pages/miaosha/order-refund/order-refund', 'pages/pt/order-comment/order-comment', 'pages/pt/order-refund/order-refund', 'pages/book/order-comment/order-comment']","['pages/order-refund/order-refund', 'pages/order-comment/order-comment', 'pages/miaosha/order-comment/order-comment', 'pages/miaosha/order-refund/order-refund', 'pages/pt/order-comment/order-comment', 'pages/pt/order-refund/order-refund', 'pages/book/order-comment/order-comment']","['pt/order-refund/order-refund', 'book/order-comment/order-comment', 'miaosha/order-refund/order-refund', 'miaosha/order-comment/order-comment', 'order-comment/order-comment', 'order-refund/order-refund', 'pt/order-comment/order-comment']"
wx4d54f84ac55705e9,wx.chooseAddress,2,2,2,"['pages/address-edit/address-edit', 'pages/address-picker/address-picker']","['pages/address-edit/address-edit', 'pages/address-picker/address-picker']","['address-picker/address-picker', 'address-edit/address-edit']"
wx4d54f84ac55705e9,wx.chooseLocation,4,4,4,"['pages/order-submit/order-submit', 'pages/miaosha/order-submit/order-submit', 'pages/pt/order-submit/order-submit', 'pages/integral-mall/order-submit/index']","['pages/order-submit/order-submit', 'pages/miaosha/order-submit/order-submit', 'pages/pt/order-submit/order-submit', 'pages/integral-mall/order-submit/index']","['integral-mall/order-submit/index', 'miaosha/order-submit/order-submit', 'order-submit/order-submit', 'pt/order-submit/order-submit']"
wx96d0ef1f9caac12d,wx.chooseAddress,1,1,1,['pages/address-add/index'],['pages/address-add/index'],['address-add/index']
wx96d0ef1f9caac12d,wx.saveImageToPhotosAlbum,1,0,0,['pages/goods-details/index'],[],[]
wx96d0ef1f9caac12d,wx.getUserProfile,2,2,2,"['pages/my/index', 'pages/authorize/index']","['pages/my/index', 'pages/authorize/index']","['my/index', 'authorize/index']"
wx9efc1a3df6998c64,wx.getLocation,7,7,7,"['pages/map-guide/map-guide', 'pages/new-restaurant-content/new-restaurant-content', 'pages/new-restaurant-list/new-restaurant-list', 'pages/new-mall-home/new-mall-home', 'pages/new-hotel-list/new-hotel-list', 'pages/new-hotel-detail/new-hotel-detail', 'pages/new-map-coupon/new-map-coupon']","['pages/map-guide/map-guide', 'pages/new-restaurant-content/new-restaurant-content', 'pages/new-restaurant-list/new-restaurant-list', 'pages/new-mall-home/new-mall-home', 'pages/new-hotel-list/new-hotel-list', 'pages/new-hotel-detail/new-hotel-detail', 'pages/new-map-coupon/new-map-coupon']","['new-restaurant-list/new-restaurant-list', 'new-map-coupon/new-map-coupon', 'new-hotel-detail/new-hotel-detail', 'new-restaurant-content/new-restaurant-content', 'map-guide/map-guide', 'new-hotel-list/new-hotel-list', 'new-mall-home/new-mall-home']"
wx9efc1a3df6998c64,wx.chooseImage,4,4,3,"['pages/rate/rate', 'pages/purchase-details/purchase-details', 'pages/card-sumber/card-sumber', 'pages/new-restaurant-star/new-restaurant-star']","['pages/rate/rate', 'pages/purchase-details/purchase-details', 'pages/card-sumber/card-sumber', 'pages/new-restaurant-star/new-restaurant-star']","['new-restaurant-star/new-restaurant-star', 'card-sumber/card-sumber', 'rate/rate']"
wx9efc1a3df6998c64,wx.getUserInfo,2,2,2,"['pages/index/index', 'pages/card-active/card-active']","['pages/index/index', 'pages/card-active/card-active']","['index/index', 'card-active/card-active']"
wx9efc1a3df6998c64,wx.saveImageToPhotosAlbum,2,2,0,"['pages/order-details/order-details', 'pages/card-active/card-active']","['pages/order-details/order-details', 'pages/card-active/card-active']",[]
wx980f52535e4664b2,wx.getUserInfo,1,0,0,['app'],[],[]
wx980f52535e4664b2,wx.saveImageToPhotosAlbum,6,6,0,"['pages/index/index', 'pages/videolist2/videolist2', 'pages/shopping/detail/detail', 'pages/shopping/material/material', 'pages/my/my', 'pages/special/special']","['pages/index/index', 'pages/videolist2/videolist2', 'pages/shopping/detail/detail', 'pages/shopping/material/material', 'pages/my/my', 'pages/special/special']",[]
wx980f52535e4664b2,wx.getUserProfile,4,4,4,"['pages/my/my', 'pages/center/member-data/member-data', 'pages/center/reg_team/reg_team', 'pages/center/reg_futeam/reg_futeam']","['pages/my/my', 'pages/center/member-data/member-data', 'pages/center/reg_team/reg_team', 'pages/center/reg_futeam/reg_futeam']","['center/reg_futeam/reg_futeam', 'my/my', 'center/reg_team/reg_team', 'center/member-data/member-data']"
wx980f52535e4664b2,wx.getLocation,5,5,5,"['pages/index/index', 'pages/shopping/detail/detail', 'pages/cat/cat', 'pages/center/tzchoice/tzchoice', 'pages/center/reg_team/reg_team']","['pages/index/index', 'pages/shopping/detail/detail', 'pages/cat/cat', 'pages/center/tzchoice/tzchoice', 'pages/center/reg_team/reg_team']","['cat/cat', 'shopping/detail/detail', 'center/tzchoice/tzchoice', 'center/reg_team/reg_team', 'index/index']"
